"district_code","district","grades_served","district_type","urbanicity","num_schools","num_high_schools","enrollment_2025","enrollment_change_6yr_pct","n_aian","pct_aian","n_aapi","pct_aapi","n_hispanic","pct_hispanic","n_black","pct_black","n_white","pct_white","n_multiracial","pct_multiracial","total","pct_lowinc","n_el","pct_el","pct_sped","n_ela_prof__9_12","pct_ela_prof__9_12","n_math_prof__9_12","pct_math_prof__9_12","n_ela_prof__3_8","pct_ela_prof__3_8","n_math_prof__3_8","pct_math_prof__3_8","pct_grad","pct_reg_attend","per_pupil_spending","pct_csi_tsi","pct_lang_eo","pct_lang_spanish","pct_lang_indo","pct_lang_aapi","pct_lang_other","pct_fte_cert"
429,"Compass Classical Academy Charter School","K-12","Charter","Rural",2,1,192,0.34,0,0,4,0.02,13,0.07,2,0.01,163,0.85,10,0.05,"192",0.61,1,0.01,0.26,5,NA,5,NA,72,0.24,72,0.12,NA,1,10870,0.5,NA,NA,NA,NA,NA,0.857142857142857
430,"MicroSociety Academy Charter School Foundation","K-8","Charter","Urban",1,0,304,0.42,1,0,92,0.3,40,0.13,13,0.04,150,0.49,8,0.03,"304",0.11,20,0.08,0.12,NA,NA,NA,NA,182,0.66,182,0.46,NA,0.98,8975,0,NA,NA,NA,NA,NA,NA
450,"Gathering Waters Charter School","K-12","Charter","Rural",2,1,286,NA,4,0.01,16,0.06,5,0.02,8,0.03,251,0.88,2,0.01,"286",0.24,NA,NA,0.18,5,NA,5,NA,116,0.39,116,0.1,NA,0.96,12324,0,NA,NA,NA,NA,NA,NA
301,"Prospect Mountain JMA","9-12","Regional","Rural",1,1,403,-0.13,0,0,3,0.01,12,0.03,3,0.01,375,0.93,10,0.02,"403",0.21,0,0,0.2,88,0.67,88,0.2,NA,NA,NA,NA,0.85,1,NA,0,NA,NA,NA,NA,NA,NA
201,"Coe-Brown Northwood Academy","9-12","Regional","Rural",1,1,654,-0.06,0,0,1,0,22,0.03,1,0,619,0.95,11,0.02,"654",0.05,0,0,0.14,128,0.78,128,0.43,NA,NA,NA,NA,0.99,0.98,NA,0,NA,NA,NA,NA,NA,NA
202,"Pinkerton Academy","9-12","Regional","Suburban",1,1,2891,-0.1,9,0,74,0.03,169,0.06,39,0.01,2503,0.86,97,0.03,"2,891",0.13,11,0,0.19,632,0.66,632,0.3,NA,NA,NA,NA,0.89,0.97,NA,0,NA,NA,NA,NA,NA,1
108,"Pasquaney",NA,"Traditional",NA,NA,0,137,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,0.76,58,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"Sullivan",NA,"Traditional",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,"Surry",NA,"Traditional",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
435,"Synergy Academy Chartered Public School",NA,"Charter",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"SAU #35 Office",NA,"Traditional",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
