State,District,Combined District,Supt. First Name,Supt. Last Name,Supt. ID,<- IDs will be added late Sept/early Oct
Massachusetts,Prospect Hill Academy Charter (District),Prospect Hill Academy Charter (District),Angela,Allen,,
Massachusetts,Worcester,Worcester,Brian,Allen,,
Massachusetts,Lynn,Lynn,Evonne,Alvarez,,
Massachusetts,"Phoenix Academy Charter Public High School, Chelsea (District)","Phoenix Academy Charter Public High School, Chelsea (District)",Beth,Anderson,,
Massachusetts,North Attleborough,North Attleborough,John,Antonucci,,
Massachusetts,Map Academy Charter School (District),Map Academy Charter School (District),Rachel,Babcock,,
Massachusetts,Stoughton,Stoughton,Joseph,Baeta,,
Massachusetts,Acushnet,Acushnet,Paula,Bailey,,
Massachusetts,Springfield International Charter (District),Springfield International Charter (District),Justin,Baker,,
Massachusetts,Collegiate Charter School of Lowell (District),Collegiate Charter School of Lowell (District),Adam,Bakr,,
Massachusetts,Easthampton,Easthampton,Michelle,Balch,,
Massachusetts,Boston Renaissance Charter Public (District),Boston Renaissance Charter Public (District),Alexandra,Banhares-Buckmire,,
Massachusetts,KIPP Academy Lynn Charter (District),KIPP Academy Lynn Charter (District),Rhonda,Barnes,,
Massachusetts,Pentucket,Pentucket,Justin,Bartholomew,,
Massachusetts,Danvers,Danvers,Daniel,Bauer,,
Massachusetts,Atlantis Charter (District),Atlantis Charter (District),Robert,Beatty,,
Massachusetts,Manchester Essex Regional,Manchester Essex Regional,Pamela,Beaudoin,,
Massachusetts,Greater Fall River Regional Vocational Technical,Greater Fall River Regional Vocational Technical,Brian,Bentley,,
Massachusetts,Foxborough,Foxborough,Amy,Berdos,,
Massachusetts,Mount Greylock,Mount Greylock,Joseph,Bergeron,,
Massachusetts,Melrose,Melrose,Cari,Berman,,
Massachusetts,Hopkinton,Hopkinton,Evan,Bishop,,
Massachusetts,Ipswich,Ipswich,Brian,Blake,,
Massachusetts,Central Berkshire,Central Berkshire,Michael,Henault,,
Massachusetts,West Bridgewater,West Bridgewater,Mark,Bodwell,,
Massachusetts,Northampton,Northampton,Portia,Bonner,,
Massachusetts,Westborough,Westborough,Allison,Borchers,,
Massachusetts,Sharon,Sharon,Peter,Botelho,,
Massachusetts,Tantasqua,Tantasqua,Deborah,Boyd,,
Massachusetts,Rockport,Rockport,Mark,Branco,,
Massachusetts,Wilmington,Wilmington,Glenn,Brand,,
Massachusetts,Marblehead Community Charter Public (District),Marblehead Community Charter Public (District),Stephanie,Brant,,
Massachusetts,Southern Worcester County Regional Vocational School District,Southern Worcester County Regional Vocational School District,Kyle,Brenner,,
Massachusetts,Benjamin Banneker Charter Public (District),Benjamin Banneker Charter Public (District),Sherley,Bretous,,
Massachusetts,Neighborhood House Charter (District),Neighborhood House Charter (District),Edverette,Brewster,,
